ID	CODE	SUBCODE	description	Numric 1	DATE	Remarks
3	6	605	בלנדר מורפי ריצ'רדס                                       	0	00/00/00	
3	6	606	בלנדר קיצ'נאיד                                            	0	00/00/00	
3	6	607	בלנדר BOSCH                                               	0	00/00/00	
3	6	608	בלנדר גרץ                                                 	0	00/00/00	
3	7	700	מיחם חשמלי                                                	0	01/01/2001	
3	7	710	מיחם חשמלי 100 כוסות                                      	0	01/01/2001	
3	7	730	מיחם חשמלי 30 כוסות                                       	0	00/00/00	
3	7	740	מיחם חשמלי 40 כוסות                                       	0	01/01/2001	
3	7	750	מיחם חשמלי 50 כוסות                                       	0	01/01/2001	
3	7	760	מיחם חשמלי 60 כוסות                                       	0	01/01/2001	
3	7	780	מיחם חשמלי 80 כוסות                                       	0	01/01/2001	
3	7	790	מיחם חשמלי מוסדי                                          	0	01/01/2001	
3	8	0	תנור אפיה פילקו	0	00/00/00	
3	8	800	תנור אפיה                                                 	0	00/00/00	
3	8	801	תנור אפיה בילט אין                                        	0	00/00/00	
3	8	802	תנור אפיה שולטס                                           	0	00/00/00	
3	8	810	תנור אפיה דלונג'י                                         	0	00/00/00	
3	8	811	תנור אפיה זנוסי                                           	0	00/00/00	
3	8	812	תנור אפיה ברוש                                            	0	00/00/00	
3	8	813	תנור אפיה אמקור                                           	0	00/00/00	
3	8	814	תנור אפיה רוזיאר                                          	0	00/00/00	
3	8	815	תנור אפיה נורמנדה                                         	0	00/00/00	
3	8	816	תנור אפיה בלאי                                            	0	00/00/00	
3	8	817	תנור אפיה אריסטון                                         	0	00/00/00	
3	8	818	תנור אפיה קינג                                            	0	00/00/00	
3	8	819	תנור אפיה קריסטל רנקו                                     	0	00/00/00	
3	8	820	תנור אפיה סאוטר                                           	0	00/00/00	
3	8	821	תנור אפיה תלם 555                                         	0	00/00/00	
3	8	822	תנור אפיה פורון                                           	0	00/00/00	
3	8	823	תנור אפיה פור                                             	0	00/00/00	
3	8	824	תנור אפיה A&G                                             	0	00/00/00	
3	8	825	תנור אפיה אלקטרה                                          	0	00/00/00	
3	8	829	תנור אפיה זמט                                             	0	00/00/00	
3	8	832	תנור אפיה מץ                                              	0	00/00/00	
3	8	833	תנור אפיה קלסיק                                           	0	00/00/00	
3	8	834	תנור אפיה מייסטר                                          	0	00/00/00	
3	8	835	תנור אפיה פרינס                                           	0	00/00/00	
3	8	836	תנור אפיה פאר                                             	0	00/00/00	
3	8	837	תנור אפיה בומפני                                          	0	00/00/00	
3	8	838	תנור אפיה טכנולוקס                                        	0	00/00/00	
3	8	839	תנור אפיה רודקס                                           	0	00/00/00	
3	8	840	תנור אפיה דה דיטריש                                       	0	00/00/00	
3	8	841	תנור אפיה פלגור                                           	0	00/00/00	
3	8	842	תנור אפיה סטאר                                            	0	00/00/00	
3	8	843	תנור אפיה דקל                                             	0	00/00/00	
3	8	844	תנור אפיה לה גרמניה                                       	0	00/00/00	
3	8	845	תנור אפיה לה פורשה                                        	0	00/00/00	
3	8	846	תנור אפיה אושיין                                          	0	00/00/00	
3	8	847	תנור אפיה אפולו                                           	0	00/00/00	
3	8	848	תנור אפיה ספקטרה                                          	0	00/00/00	
3	8	849	תנור אפיה בריקסון                                         	0	00/00/00	
3	8	850	תנור אפיה ברדר                                            	0	00/00/00	
3	8	851	תנור אפיה תעשייתי                                         	0	00/00/00	
3	8	855	טוסטר אובן אמקא                                           	0	00/00/00	
3	8	856	טוסטר אובן זקש                                            	0	00/00/00	
3	8	857	טוסטר אובן סיטי                                           	0	00/00/00	
3	8	858	טוסטר אובן קנווד                                          	0	00/00/00	
3	8	859	טוסטר אובן ויוולפ                                         	0	00/00/00	
3	8	860	טוסטר פלטות                                               	0	00/00/00	
3	8	861	טוסטר אובן אקורד                                          	0	00/00/00	
3	8	862	טוסטר אובן מג'ימיקס                                       	0	00/00/00	
3	8	863	טוסטר אובן מולינקס                                        	0	00/00/00	
3	8	864	טוסטר אובן פרומסטר                                        	0	00/00/00	
3	8	865	טוסטר אובן בוש                                            	0	00/00/00	
3	8	866	טוסטר אובן דוו                                            	0	00/00/00	
3	8	867	טוסטר אובן דלונג'י                                        	0	00/00/00	
3	8	868	טוסטר אובן כודה                                           	0	00/00/00	
3	8	869	טוסטר אובן אמפא                                           	0	00/00/00	
3	8	870	טוסטר אובן סב                                             	0	00/00/00	
3	8	871	טוסטר אובן ג'נרל                                          	0	00/00/00	
3	8	872	טוסטר אובן מולינקס                                        	0	00/00/00	
3	8	873	טוסטר אובן טפל                                            	0	00/00/00	
3	8	874	טוסטר אובן גולד                                           	0	00/00/00	
3	8	875	טוסטר אובן קוורץ                                          	0	00/00/00	
3	8	878	סיר טיגון יוניברסל                                        	0	00/00/00	
3	8	879	סיר טיגון מולינקס                                         	0	00/00/00	
3	8	880	סיר טיגון                                                 	0	00/00/00	
3	8	881	סיר טיגון אקורד                                           	0	00/00/00	
3	8	882	סיר טיגון פרוטרוס                                         	0	00/00/00	
3	8	883	סיר טיגון דלונג'י                                         	0	00/00/00	
3	8	884	סיר טיגון קנווד                                           	0	00/00/00	
3	8	885	סיר טיגון סי-טי                                           	0	00/00/00	
3	8	886	סיר טיגון סולק                                            	0	00/00/00	
3	8	887	סיר טיגון סב                                              	0	00/00/00	
3	8	888	סיר טיגון כרומקס                                          	0	00/00/00	
3	8	889	סיר טיגון גרוסג                                           	0	00/00/00	
3	8	890	סיר טיגון אופסה                                           	0	00/00/00	
3	8	891	סיר טיגון מורפי ריצ'רדס                                   	0	00/00/00	
3	8	892	יח' הזנה לסיר טיגון קנווד                                 	0	00/00/00	
3	8	994	תנור אפיה בלרס                                            	0	00/00/00	
3	9	900	מגהץ קיטור                                                	0	00/00/00	
3	9	901	מגהץ קיטור תעשייתי                                        	0	00/00/00	
3	9	902	מגהץ קיטור דלונג'י                                        	0	00/00/00	
3	9	903	מגהץ קיטור כרומקס                                         	0	00/00/00	
3	9	904	מגהץ קיטור רוונטה                                         	0	00/00/00	
3	9	905	מגהץ קיטור בראון                                          	0	00/00/00	
3	9	906	מגהץ קיטור טפל                                            	0	00/00/00	
3	9	907	מגהץ קיטור מורפי ריצ'רדס                                  	0	00/00/00	
3	9	908	מגהץ קיטור מורפי אלקטריק                                  	0	00/00/00	
3	9	909	מגהץ קיטור זקש                                            	0	00/00/00	
3	9	910	מגהץ קיטור BOSCH                                          	0	00/00/00	
3	9	916	מגהץ קיטור קנווד SS-405                                   	0	00/00/00	
3	9	920	מגהץ קיטור קנווד SS-465                                   	0	00/00/00	
3	9	921	מגהץ קיטור קנווד SS-210                                   	0	00/00/00	
3	9	930	מגהץ קיטור קנווד SS-350                                   	0	00/00/00	
3	9	940	מגהץ קיטור קנווד SS-400                                   	0	00/00/00	
3	9	941	מגהץ קיטור קנווד SS-401                                   	0	00/00/00	
3	9	945	מגהץ קיטור קנווד SS-405                                   	0	00/00/00	
3	9	948	מגהץ קיטור קנווד SS-480                                   	0	00/00/00	
3	9	950	מגהץ קיטור קנווד SS-720                                   	0	00/00/00	
3	9	960	מגהץ קיטור קנווד SS-600                                   	0	00/00/00	
3	9	961	מגהץ קיטור קנווד SS-601                                   	0	00/00/00	
3	9	966	מגהץ קיטור קנווד SS-606                                   	0	00/00/00	
3	9	970	מגהץ קיטור קנווד SS-700                                   	0	00/00/00	
3	9	971	מגהץ קיטור קנווד IC-400                                   	0	00/00/00	
3	9	972	מגהץ קיטור קנווד IC-405                                   	0	00/00/00	
3	9	973	מגהץ קיטור קנווד IC-505                                   	0	00/00/00	
3	9	974	מגהץ קיטור קנווד IC-600                                   	0	00/00/00	
3	9	975	מגהץ קיטור קנווד IC-650                                   	0	00/00/00	
3	9	976	מגהץ קיטור קנווד IC-800                                   	0	00/00/00	
3	9	977	מגהץ קיטור פרוסמן                                         	0	00/00/00	
3	9	978	קיטורית-מגהץ קנווד                                        	0	00/00/00	
3	9	979	קיטורית קנווד                                             	0	00/00/00	
3	9	980	אספרסו קנווד ES-571                                       	0	00/00/00	
3	9	981	אספרסו קנווד ES-421                                       	0	00/00/00	
3	9	982	אספרסו קנווד ES-630                                       	0	00/00/00	
4	0		לא נטענת	0	00/00/00	
4	1	100	לוח מקשים אינו מגיב כראוי                                 	0	00/00/00	
4	1	102	לא מחמם                                                   	0	00/00/00	
4	1	103	מצפצף לבד                                                 	0	00/00/00	
4	1	104	מוציא ניצוצות                                             	0	00/00/00	
4	1	105	לא מסובב צלחת                                             	0	00/00/00	
4	1	106	סטרט לא פועל                                              	0	00/00/00	
4	1	107	בדיקת קרינה                                               	0	00/00/00	
4	1	108	אין תאורה                                                 	0	00/00/00	
4	1	109	דלת לא נפתחת/לא נסגרת                                     	0	00/00/00	
4	1	110	תושבת מנוע צלחת לא תקינה                                  	0	00/00/00	
4	1	111	מכסה פתח גלבו לא תקין                                     	0	00/00/00	
4	1	112	אטם דלת חרוך                                              	0	00/00/00	
4	1	113	פועל ללא בקרה                                             	0	00/00/00	
4	2	200	לא שואב                                                   	0	00/00/00	
4	2	201	לא שואב מלמטה                                             	0	00/00/00	
4	2	202	מוציא אבק                                                 	0	00/00/00	
4	2	203	מפסיק לפעול לאחר מס' דקות                                 	0	00/00/00	
4	2	222	טיפול כללי                                                	0	00/00/00	
4	3	300	לא מסובב תמסורת                                           	0	00/00/00	
4	3	301	לא מסובב מטחנת בשר                                        	0	01/01/2001	
4	3	302	וו לישה תקוע                                              	0	00/00/00	
4	3	303	"מערבל ""K"" תקוע                                            "	0	00/00/00	
4	3	304	מקצפה תקועה                                               	0	00/00/00	
4	3	305	לא ניתן לפתיחה                                            	0	01/01/2001	
4	3	306	לא ניתן לנעילה                                            	0	01/01/2001	
4	3	307	נפתח באמצע עבודה                                          	0	01/01/2001	
4	3	308	מקשר מנוע שחוק                                            	0	00/00/00	
4	3	309	מקשר בייס שחוק                                            	0	00/00/00	
4	3	310	פועל במהירות גבוהה בלבד                                   	0	00/00/00	
4	3	311	פועל ללא בקרת מהירות                                      	0	00/00/00	
4	4	400	ציר תמסורת ראשי שבור.                                     	0	00/00/00	
4	5	500	לא טוחן                                                   	0	00/00/00	
4	6	600	מקשר כוס שחוק                                             	0	00/00/00	
4	6	601	מקשר מנוע שחוק                                            	0	00/00/00	
4	7	700	נזילת מים                                                 	0	00/00/00	
4	7	701	לא מגיע לרתיחה                                            	0	00/00/00	
4	7	702	לא מפסיק לרתוח                                            	0	00/00/00	
4	7	703	מפסק שבת לא תקין                                          	0	00/00/00	
4	7	704	מפסק הרתחה לא תקין                                        	0	00/00/00	
4	7	705	זוג מפסקי הפעלה לא תקינים                                 	0	00/00/00	
4	7	706	פועל ו/או מפסיק ללא בקרה                                  	0	00/00/00	
4	8	800	לא מחמם טוב                                               	0	00/00/00	
4	8	801	שורף מלמעלה                                               	0	00/00/00	
4	8	802	שורף מלמטה                                                	0	00/00/00	
4	8	803	טיימר לא תקין                                             	0	00/00/00	
4	8	804	טרמוסטט לא תקין                                           	0	00/00/00	
4	8	805	"גו""ח עליון לא פועל                                        "	0	00/00/00	
4	8	806	"גו""ח תחתון לא פועל                                        "	0	00/00/00	
4	8	807	מצב גריל לא פועל                                          	0	00/00/00	
4	8	808	במצב טורבו לא מחמם                                        	0	00/00/00	
4	8	809	אין בקרת טמפרטורה                                         	0	00/00/00	
4	8	810	תא עליון לא פועל                                          	0	00/00/00	
4	8	811	תא תחתון לא פועל                                          	0	00/00/00	
4	9	900	לא פועל                                                   	0	00/00/00	
4	9	901	לא פועל לסירוגין                                          	0	00/00/00	
4	9	902	מקצר                                                      	0	00/00/00	
4	9	903	מרעיש                                                     	0	00/00/00	
4	9	904	מוציא ריח שרוף                                            	0	00/00/00	
